id_client,prenom,nom,ville,date_inscription,nb_commandes,montant_total,derniere_commande,email_valide,age
99,Ibrahim,Bamba,Inconnue,2023-10-14,3,215.09,2024-09-06,True,30.0
100,Jean,Diabate,Yamoussoukro,2024-05-08,2,328.9,2024-08-16,True,35.0
101,Aya,Coulibaly,Yamoussoukro,2025-03-30,6,491.29,2025-12-16,True,18.0
102,Aminata,Ouattara,Korhogo,2024-10-06,0,163.52,,True,18.0
103,Marie,Coulibaly,Abidjan,2024-10-22,3,322.01,2026-03-02,True,41.0
104,Ibrahim,Yao,Yamoussoukro,2024-12-03,3,249.03,2026-07-19,True,41.0
105,Jean,Ouattara,Korhogo,2025-01-14,5,479.64,2025-05-23,True,36.0
106,Marie,N'Guessan,San Pedro,2023-01-29,6,37.74,2023-07-20,True,31.0
107,Aya,Kouassi,Bouaké,2024-02-20,3,479.65,2025-04-29,True,49.0
108,Adjoua,Bamba,Korhogo,2024-10-25,1,148.1,2025-06-09,True,18.0
109,Yao,Coulibaly,Abidjan,2024-02-03,6,208.49,2025-02-04,True,33.0
110,Koffi,Yao,Korhogo,2023-08-11,4,169.11,2025-04-18,True,24.0
111,Awa,Yao,San Pedro,2024-01-13,3,127.93,2025-12-05,True,34.0
112,Sekou,Coulibaly,Abidjan,2023-10-15,2,341.39,2025-08-09,True,24.0
113,Marie,Toure,Bouaké,2025-04-25,4,394.2,2025-08-24,True,33.0
114,Sekou,Diabate,Yamoussoukro,2024-09-22,4,78.35,2025-04-12,True,37.0
115,Adjoua,Kouassi,Korhogo,2024-10-23,3,402.94,2025-08-01,True,27.0
116,Aya,Traore,Bouaké,2024-04-07,6,834.73,2024-07-23,True,42.0
117,Jean,Coulibaly,Abidjan,2023-05-08,6,458.8,2024-09-09,True,32.0
118,Aminata,Diabate,San Pedro,2024-02-09,5,48.78,2024-04-18,True,21.0
119,Sekou,Yao,Korhogo,2023-04-11,4,432.72,2024-05-19,False,24.0
120,Sekou,Yao,San Pedro,2025-02-10,4,237.09,2026-06-08,True,38.0
121,Yao,Coulibaly,Bouaké,2025-06-06,6,359.16,2026-04-07,True,29.0
122,Yao,N'Guessan,Bouaké,2024-12-04,3,200.52,2025-03-26,True,19.0
123,Aya,Kone,Korhogo,2025-02-01,5,497.65,2026-05-16,True,23.0
124,Adjoua,Diabate,Abidjan,2025-05-20,4,239.17,2025-11-30,True,44.0
125,Fatou,Ouattara,Yamoussoukro,2024-06-30,6,393.4,2026-04-01,True,34.5
126,Adjoua,Yao,Abidjan,2024-09-03,3,474.39,2026-03-04,False,49.0
127,Fatou,Yao,Korhogo,2024-02-12,1,130.13,2024-09-18,True,25.0
128,Kouassi,Coulibaly,Bouaké,2025-04-27,4,571.14,2026-01-18,True,59.0
129,Yao,N'Guessan,San Pedro,2024-06-02,2,108.64,2024-12-17,True,36.0
130,Ibrahim,Bamba,Korhogo,2024-10-27,5,441.05,2025-11-01,True,18.0
131,Adjoua,Ouattara,San Pedro,2024-01-19,2,190.68,2024-12-10,True,54.0
132,Ibrahim,Kone,Daloa,2023-10-16,4,429.69,2025-02-20,True,56.0
133,Koffi,Toure,San Pedro,2024-07-30,3,643.37,2026-03-09,True,31.0
134,Koffi,Ouattara,Abidjan,2023-10-21,3,199.04,2025-04-04,True,25.0
135,Ibrahim,Coulibaly,Daloa,2023-03-09,6,476.19,2023-04-03,True,34.0
136,Aya,Ouattara,Daloa,2023-03-07,3,135.18,2024-05-15,True,34.5
137,Aminata,Diabate,San Pedro,2024-01-14,5,456.58,2025-09-01,True,51.0
138,Marie,Diabate,Korhogo,2024-07-12,5,22.72,2025-04-20,True,50.0
139,Kouassi,Bamba,Abidjan,2023-02-09,2,544.09,2024-12-27,True,25.0
140,Yao,Traore,Korhogo,2023-09-17,6,146.15,2025-07-17,True,34.0
141,Yao,Kouassi,Daloa,2023-09-17,5,257.1,2024-04-30,True,19.0
142,Awa,Ouattara,Inconnue,2024-04-21,6,133.69,2024-08-29,True,24.0
143,Awa,Traore,San Pedro,2025-03-08,3,214.77,2025-04-17,True,30.0
144,Fatou,Bamba,Korhogo,2023-12-04,8,131.66,2024-08-07,True,49.0
145,Sekou,Ouattara,Daloa,2024-03-29,6,159.92,2024-11-10,True,26.0
146,Jean,Bamba,Daloa,2023-10-29,4,409.26,2025-08-04,True,43.0
147,Adjoua,Ouattara,Yamoussoukro,2024-02-11,3,139.39,2025-11-30,True,31.0
148,Aminata,Coulibaly,Korhogo,2025-04-25,1,208.07,2025-12-30,True,34.0
149,Marie,Toure,Abidjan,2023-03-24,10,385.89,2025-01-27,True,31.0
150,Koffi,Yao,Bouaké,2023-10-13,2,434.17,2023-11-22,False,24.0
151,Sekou,Traore,San Pedro,2023-03-09,8,10.98,2024-07-14,True,29.0
152,Jean,Traore,San Pedro,2025-02-05,3,360.41,2025-12-25,True,55.0
153,Awa,Yao,Abidjan,2024-04-26,5,490.02,2024-05-21,True,51.0
154,Marie,Bamba,Abidjan,2024-02-10,6,338.42,2025-06-15,True,18.0
155,Fatou,Bamba,Yamoussoukro,2023-06-11,5,398.89,2024-03-19,True,29.0
156,Aya,Diabate,Bouaké,2024-01-15,5,934.01,2024-03-03,False,26.0
157,Adjoua,Ouattara,Korhogo,2023-07-09,5,260.6,2024-02-26,True,33.0
158,Aminata,Diabate,Bouaké,2024-07-02,5,308.95,2025-05-30,True,36.0
159,Awa,Traore,Korhogo,2024-07-10,6,284.07,2025-09-13,True,36.0
160,Aya,Toure,Daloa,2024-11-17,5,629.71,2025-03-09,True,61.0
161,Koffi,Coulibaly,Korhogo,2024-01-13,7,348.18,2025-04-10,True,31.0
162,Awa,Kone,San Pedro,2024-05-28,7,628.55,2025-12-22,True,32.0
163,Aminata,Yao,San Pedro,2023-08-11,3,267.28,2024-10-12,True,48.0
164,Fatou,Kouassi,San Pedro,2024-09-25,4,274.61,2024-12-08,True,37.0
165,Fatou,N'Guessan,Bouaké,2025-04-04,1,505.52,2026-07-26,True,70.0
166,Jean,Coulibaly,Yamoussoukro,2024-07-21,5,661.57,2025-08-19,True,29.0
167,Kouassi,Yao,Daloa,2025-03-16,5,124.18,2026-02-28,True,36.0
168,Aya,Yao,San Pedro,2023-12-29,2,253.42,2025-06-22,True,54.0
169,Fatou,Kone,San Pedro,2023-05-02,5,350.86,2023-08-18,True,40.0
170,Yao,Traore,Bouaké,2023-10-05,5,0.0,2024-11-23,True,28.0
171,Aya,Toure,Yamoussoukro,2025-01-31,2,311.0,2026-06-13,True,40.0
172,Kouassi,Yao,Daloa,2023-10-07,5,139.08,2025-07-31,True,20.0
173,Fatou,Kouassi,Daloa,2023-06-14,5,749.5,2025-04-28,True,53.0
174,Aya,Yao,Abidjan,2023-09-03,2,180.21,2025-03-13,False,45.0
175,Kouassi,Kouassi,Korhogo,2024-08-04,5,49.19,2025-09-24,True,24.0
176,Sekou,Coulibaly,Yamoussoukro,2024-02-11,7,530.75,2025-02-09,True,52.0
177,Koffi,Toure,Yamoussoukro,2024-05-25,5,344.57,2024-06-06,True,34.5
178,Koffi,Kone,Korhogo,2024-12-01,1,597.92,2026-06-09,True,32.0
179,Fatou,Diabate,Daloa,2023-11-16,4,237.52,2025-08-23,False,45.0
180,Jean,Kouassi,Yamoussoukro,2023-10-19,8,442.84,2024-11-05,True,24.0
181,Yao,Kouassi,Korhogo,2023-12-24,5,213.92,2024-06-02,True,39.0
182,Ibrahim,Diabate,Abidjan,2024-10-17,4,291.39,2025-05-19,True,47.0
183,Fatou,Bamba,Daloa,2025-06-12,1,464.8,2026-01-30,True,38.0
184,Aya,Diabate,Bouaké,2025-02-19,3,326.55,2026-05-10,True,47.0
185,Awa,N'Guessan,Yamoussoukro,2024-04-28,3,489.46,2025-06-09,True,41.0
186,Adjoua,N'Guessan,Yamoussoukro,2023-01-30,3,0.0,2024-01-18,True,34.0
187,Awa,Yao,San Pedro,2025-05-22,2,187.29,2025-08-25,True,35.0
188,Fatou,Bamba,Abidjan,2023-07-28,2,448.52,2023-12-31,True,24.0
189,Yao,Traore,Bouaké,2024-09-24,5,566.45,2026-06-09,True,33.0
190,Koffi,Ouattara,Korhogo,2024-11-21,3,602.44,2025-05-14,True,46.0
191,Ibrahim,Traore,San Pedro,2023-08-23,6,547.79,2023-12-01,True,49.0
192,Marie,Yao,Korhogo,2025-05-20,4,243.29,2025-06-01,True,33.0
193,Jean,Coulibaly,Yamoussoukro,2024-02-01,8,631.68,2024-10-31,True,33.0
194,Aminata,Yao,Korhogo,2023-11-22,5,252.57,2024-03-18,True,33.0
195,Aya,Bamba,Abidjan,2024-07-18,2,25.44,2025-08-19,True,21.0
196,Aminata,Kone,San Pedro,2024-01-22,3,429.92,2024-07-27,True,34.0
197,Marie,Toure,Korhogo,2025-04-12,5,321.52,2025-08-23,True,37.0
198,Ibrahim,Toure,Bouaké,2025-01-05,4,384.6,2026-02-23,True,35.0
199,Aminata,Traore,Daloa,2023-08-13,3,383.09,2024-01-16,True,41.0
200,Yao,Yao,Daloa,2024-02-16,3,739.65,2025-01-11,True,40.0
